"TimeInt";"TimeStr";"B_MASA1";"B_MASA2";"B_MASA_3";"B_MASA_4";"CAUDAL_1";"CAUDAL_2";"CAUDAL_ACUMUL.1";"CAUDAL_ACUMUL.2";"DECANTER";"DEC_HORAS_PARCIAL";"DEC_HORAS_TOTAL";"INT_MD";"PAR_BD";"RPM_BD";"RPM_DIF";"RPM_MD";"T_ROD_ALIM";"T_ROD_SAL";"VIBRAC"
1713297435;"16/04/2024 19:57:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713297495;"16/04/2024 19:58:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.15625
1713297555;"16/04/2024 19:59:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713297615;"16/04/2024 20:00:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713297675;"16/04/2024 20:01:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713297735;"16/04/2024 20:02:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1757812
1713297795;"16/04/2024 20:03:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713297855;"16/04/2024 20:04:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1953125
1713297915;"16/04/2024 20:05:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713297975;"16/04/2024 20:06:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713298035;"16/04/2024 20:07:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713298095;"16/04/2024 20:08:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2246094
1713298155;"16/04/2024 20:09:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.2050781
1713298215;"16/04/2024 20:10:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713298275;"16/04/2024 20:11:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1855469
1713298335;"16/04/2024 20:12:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2441406
1713298395;"16/04/2024 20:13:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713298455;"16/04/2024 20:14:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2246094
1713298515;"16/04/2024 20:15:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1953125
1713298575;"16/04/2024 20:16:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713298635;"16/04/2024 20:17:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1953125
1713298695;"16/04/2024 20:18:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713298755;"16/04/2024 20:19:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713298815;"16/04/2024 20:20:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1953125
1713298875;"16/04/2024 20:21:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.2050781
1713298935;"16/04/2024 20:22:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1855469
1713298995;"16/04/2024 20:23:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1757812
1713299055;"16/04/2024 20:24:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1660156
1713299115;"16/04/2024 20:25:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.2050781
1713299175;"16/04/2024 20:26:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713299235;"16/04/2024 20:27:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1757812
1713299295;"16/04/2024 20:28:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713299355;"16/04/2024 20:29:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713299415;"16/04/2024 20:30:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713299475;"16/04/2024 20:31:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713299535;"16/04/2024 20:32:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713299595;"16/04/2024 20:33:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1757812
1713299655;"16/04/2024 20:34:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.15625
1713299715;"16/04/2024 20:35:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2050781
1713299775;"16/04/2024 20:36:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1660156
1713299835;"16/04/2024 20:37:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1757812
1713299895;"16/04/2024 20:38:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1855469
1713299955;"16/04/2024 20:39:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.2050781
1713300015;"16/04/2024 20:40:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713300075;"16/04/2024 20:41:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1953125
1713300135;"16/04/2024 20:42:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.15625
1713300195;"16/04/2024 20:43:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713300255;"16/04/2024 20:44:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1953125
1713300315;"16/04/2024 20:45:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1757812
1713300375;"16/04/2024 20:46:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2246094
1713300435;"16/04/2024 20:47:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1660156
1713300495;"16/04/2024 20:48:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
1713300555;"16/04/2024 20:49:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713300615;"16/04/2024 20:50:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.2050781
1713300675;"16/04/2024 20:51:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1757812
1713300735;"16/04/2024 20:52:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1757812
1713300795;"16/04/2024 20:53:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713300855;"16/04/2024 20:54:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28.125;0.1953125
1713300915;"16/04/2024 20:55:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1757812
1713300975;"16/04/2024 20:56:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1953125
1713301035;"16/04/2024 20:57:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1660156
1713301096;"16/04/2024 20:58:16";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.2050781
1713301155;"16/04/2024 20:59:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1757812
1713301215;"16/04/2024 21:00:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1953125
1713301275;"16/04/2024 21:01:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
1713301335;"16/04/2024 21:02:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.25;28;0.1855469
1713301395;"16/04/2024 21:03:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1757812
1713301455;"16/04/2024 21:04:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1953125
1713301515;"16/04/2024 21:05:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1855469
1713301575;"16/04/2024 21:06:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1855469
1713301635;"16/04/2024 21:07:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1367188
1713301695;"16/04/2024 21:08:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
1713301755;"16/04/2024 21:09:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1855469
1713301815;"16/04/2024 21:10:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
1713301875;"16/04/2024 21:11:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
1713301935;"16/04/2024 21:12:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2148438
1713301995;"16/04/2024 21:13:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1757812
1713302055;"16/04/2024 21:14:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28.125;0.1855469
1713302115;"16/04/2024 21:15:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.1953125
1713302175;"16/04/2024 21:16:15";0;0;0;0;0;0;1858440;82167163;0;848;7838;0;0;0;0;0;30.125;28;0.2050781
